im_name;gender;left_eye_x;left_eye_y;right_eye_x;right_eye_y;age
0.jpg;male;70;111;107;111;37
1.jpg;male;71;110;106;111;31
2.jpg;male;71;111;106;110;37
3.jpg;male;68;111;108;112;51
4.jpg;male;71;111;106;110;36
5.jpg;female;69;112;108;111;30
6.jpg;male;72;108;103;112;61
7.jpg;male;69;112;108;111;34
8.jpg;male;72;110;105;110;40
9.jpg;female;69;111;108;112;35
10.jpg;male;69;111;107;111;39
11.jpg;female;70;111;107;111;34
12.jpg;male;68;111;109;112;36
13.jpg;male;72;111;106;109;31
14.jpg;female;69;111;108;111;38
15.jpg;male;70;111;108;111;29
16.jpg;male;70;109;105;112;42
17.jpg;female;67;111;109;112;38
18.jpg;male;72;110;105;110;59
19.jpg;female;70;111;107;111;34
20.jpg;male;71;109;105;111;37
21.jpg;female;70;111;107;111;35
22.jpg;female;70;112;107;110;27
23.jpg;female;68;112;109;112;36
24.jpg;male;67;112;109;112;36
25.jpg;female;66;112;110;113;35
26.jpg;male;71;111;106;110;44
27.jpg;male;68;112;109;112;36
28.jpg;female;69;111;108;112;36
29.jpg;male;72;111;106;110;34
30.jpg;female;69;111;108;111;37
31.jpg;female;69;111;108;111;33
32.jpg;female;69;112;108;111;35
33.jpg;female;69;111;107;111;35
34.jpg;female;70;112;108;110;33
35.jpg;male;70;112;108;110;36
36.jpg;male;68;112;109;111;45
37.jpg;male;71;111;106;110;35
38.jpg;female;68;112;109;112;31
39.jpg;female;68;112;109;112;32
40.jpg;male;70;111;107;111;36
41.jpg;female;69;112;109;111;34
42.jpg;male;71;111;106;111;38
43.jpg;male;67;112;110;112;41
44.jpg;female;67;111;109;113;40
45.jpg;female;68;112;109;112;30
46.jpg;male;69;111;108;111;42
47.jpg;male;67;112;110;112;63
48.jpg;female;70;112;108;111;46
49.jpg;male;68;112;109;112;30
50.jpg;female;69;112;109;111;35
51.jpg;female;67;111;109;113;34
52.jpg;female;71;111;107;110;30
53.jpg;male;71;112;107;109;40
54.jpg;male;69;112;108;111;37
55.jpg;female;70;111;107;111;34
56.jpg;female;69;110;107;112;17
57.jpg;female;68;112;109;112;45
58.jpg;male;73;109;103;110;61
59.jpg;female;68;112;109;112;38
60.jpg;female;69;111;108;111;36
61.jpg;female;74;107;102;111;28
62.jpg;male;70;111;107;110;28
63.jpg;female;67;112;110;112;33
64.jpg;male;69;111;107;111;34
65.jpg;female;67;112;109;112;31
66.jpg;female;71;111;107;110;45
67.jpg;male;70;110;107;111;37
68.jpg;female;69;111;108;112;34
69.jpg;male;69;111;108;111;38
70.jpg;female;68;112;109;112;32
71.jpg;female;67;110;108;114;34
72.jpg;female;68;111;109;112;45
73.jpg;male;70;112;108;111;30
74.jpg;female;67;111;109;113;33
75.jpg;male;71;110;106;111;30
76.jpg;female;71;109;105;111;40
77.jpg;female;68;112;109;112;51
78.jpg;female;68;111;108;113;46
79.jpg;female;69;110;107;112;33
80.jpg;male;72;111;106;110;28
81.jpg;male;69;112;108;111;44
82.jpg;male;69;112;109;110;33
83.jpg;male;69;112;108;111;38
84.jpg;male;70;111;107;111;34
85.jpg;male;69;112;109;111;56
86.jpg;female;69;112;108;111;38
87.jpg;male;71;110;106;111;33
88.jpg;male;70;113;108;110;64
89.jpg;female;69;110;107;112;36
90.jpg;female;70;111;108;111;34
91.jpg;female;67;112;110;113;31
92.jpg;female;69;112;108;111;48
93.jpg;male;69;111;107;112;52
94.jpg;female;72;113;107;108;35
95.jpg;female;69;110;107;112;42
96.jpg;female;70;108;105;113;46
97.jpg;female;71;111;107;110;32
98.jpg;male;70;111;107;110;54
99.jpg;female;68;114;111;110;30
100.jpg;female;69;112;108;111;41
101.jpg;male;67;114;112;111;38
102.jpg;male;70;111;107;111;28
103.jpg;male;69;111;108;111;34
104.jpg;male;69;109;106;113;28
105.jpg;female;69;112;108;111;35
106.jpg;male;67;111;109;113;42
107.jpg;male;69;111;107;111;51
108.jpg;female;69;111;107;111;37
109.jpg;female;68;110;108;113;37
110.jpg;male;71;111;106;110;40
111.jpg;female;68;112;109;111;32
112.jpg;female;70;111;107;111;39
113.jpg;female;68;113;110;111;40
114.jpg;male;70;111;107;111;33
115.jpg;male;69;111;108;111;35
116.jpg;male;68;112;109;112;28
117.jpg;male;72;111;106;109;33
118.jpg;female;71;114;108;108;35
119.jpg;male;70;111;107;111;33
120.jpg;male;65;116;114;111;36
121.jpg;male;69;112;109;111;33
122.jpg;female;72;110;105;110;21
123.jpg;female;68;112;109;112;39
124.jpg;female;68;112;109;112;35
125.jpg;male;71;111;107;110;32
126.jpg;female;74;106;101;111;36
127.jpg;male;70;111;108;111;19
128.jpg;female;70;112;108;110;36
129.jpg;female;67;114;111;111;31
130.jpg;male;68;112;109;112;51
131.jpg;female;71;112;107;110;49
132.jpg;male;71;111;106;111;32
133.jpg;male;70;111;107;111;45
134.jpg;male;68;111;108;112;34
135.jpg;female;69;111;108;111;68
136.jpg;male;71;111;107;110;34
137.jpg;male;69;111;108;112;37
138.jpg;female;72;112;107;109;38
139.jpg;male;70;112;108;110;64
140.jpg;female;69;112;108;111;34
141.jpg;female;69;111;108;112;35
142.jpg;female;69;111;108;112;60
143.jpg;female;69;112;108;111;34
144.jpg;female;70;111;107;110;41
145.jpg;female;68;112;109;112;40
146.jpg;male;70;110;106;111;31
147.jpg;female;71;112;107;109;31
148.jpg;female;68;112;109;112;32
149.jpg;female;69;112;108;111;31
150.jpg;male;76;110;102;107;33
151.jpg;female;69;113;109;111;44
152.jpg;female;67;112;110;112;30
153.jpg;male;70;111;107;111;33
154.jpg;male;72;111;106;110;34
155.jpg;male;71;110;106;111;37
156.jpg;male;68;111;109;112;65
157.jpg;male;69;112;108;112;38
158.jpg;female;68;112;109;112;35
159.jpg;female;69;111;108;111;32
160.jpg;female;69;112;108;111;34
161.jpg;female;70;111;107;110;38
162.jpg;female;71;111;106;110;37
163.jpg;female;67;112;110;112;31
